designation,service_ceiling,range,cruise_speed
Airbus A319-111,12527,6801,900
Airbus A320-232,12131,5700,904
Airbus A321-211,12131,5600,904
Airbus A330-203,12634,12499,900
Airbus A330-323,12634,10501,900
Airbus A380-800,13106,15199,945
Beech 1900D,7620,2778,330
Boeing 717-200,11278,3815,811
Boeing 737-700,12497,8149,946
Boeing 737-800,12497,7408,946
Boeing 737-900ER,12497,5926,946
Boeing 747-8,13137,14816,917
Boeing 767-300ER,13137,11066,850
Boeing 767-400ER,13137,10416,850
Boeing 777-200,13137,9695,950
Boeing 777-300,13137,11140,950
Boeing 787-8,13137,13621,902
Boeing 787-9,13137,14140,902
Bombardier CRJ200LR,12497,3148,859
Bombardier CRJ700 Series 701,12497,2656,828
Bombardier CRJ900,12497,2956,880
Britten-Norman BN-2B,4450,1400,270
Dornier Do 228-200,8534,600,428
Let L-410 UVP,4200,550,356
Sukhoi SSJ100/75,12497,2900,574
EMBRAER ERJ-135ER,11278,3232,833
EMBRAER ERJ-140ER,11278,2315,833
EMBRAER ERJ-145LR,11278,2871,833
EMBRAER EMB-170,12497,3889,870
EMBRAER EMB-175LR,12497,3704,870
EMBRAER EMB-190LR,12497,4445,870
EMBRAER EMB-195LR,12497,4074,870
Xian MA60,7620,1430,519
